000003	0.04 	  11.000   1.3785   0.04034   0.03234  -0.1028   0.0334   1.0001
000003	0.04 	  12.000   1.4410   0.04524   0.03741  -0.0969   0.0295   1.0001
000003	0.04 	  13.000   1.5049   0.05108   0.04360  -0.0915   0.0269   1.0001
000003	0.04 	  14.000   1.5507   0.05787   0.05066  -0.0860   0.0246   1.0001
000003	0.04 	  15.000   1.5468   0.07040   0.06426  -0.0787   0.0233   1.0001
000003	0.1 	   2.000   0.8608   0.01387   0.00743  -0.1827   0.7851   0.2560
000003	0.1 	   3.000   0.9775   0.01312   0.00692  -0.1817   0.7617   0.2882
000003	0.1 	   4.000   1.0842   0.01229   0.00627  -0.1782   0.7191   0.3263
000003	0.1 	   5.000   1.1744   0.01210   0.00620  -0.1717   0.6399   0.3736
000003	0.1 	   6.000   1.1645   0.01680   0.00909  -0.1489   0.2789   0.4162
000003	0.1 	   7.000   1.1761   0.02282   0.01424  -0.1342   0.0769   0.5300
000003	0.1 	   9.000   1.2690   0.03129   0.02323  -0.1161   0.0449   1.0001
000003	0.1 	  10.000   1.3212   0.03616   0.02813  -0.1088   0.0379   1.0001
000003	0.1 	  11.000   1.3799   0.04100   0.03305  -0.1022   0.0331   1.0001
000003	0.1 	  12.000   1.4436   0.04602   0.03828  -0.0962   0.0293   1.0001
000003	0.1 	  13.000   1.5052   0.05241   0.04511  -0.0904   0.0266   1.0001
000003	0.1 	  14.000   1.5519   0.05966   0.05260  -0.0850   0.0244   1.0001
000004	0.04 	   2.000   0.2629   0.01386   0.00554  -0.0349   0.4805   0.2937
000004	0.04 	   3.000   0.3713   0.01376   0.00565  -0.0327   0.4552   0.3239
000004	0.04 	   4.000   0.4793   0.01378   0.00589  -0.0302   0.4297   0.3635
000004	0.04 	   5.000   0.5848   0.01372   0.00620  -0.0274   0.4032   0.4262
000004	0.04 	   6.000   0.6756   0.01285   0.00650  -0.0218   0.3716   0.7137
000004	0.04 	   7.000   0.8754   0.01325   0.00733  -0.0368   0.3233   1.0001
000004	0.04 	   8.000   0.9549   0.01405   0.00800  -0.0295   0.2809   1.0001
000004	0.04 	   9.000   1.0259   0.01537   0.00909  -0.0210   0.2212   1.0001
000004	0.04 	  10.000   1.0787   0.01801   0.01125  -0.0108   0.1375   1.0001
000004	0.04 	  11.000   1.1109   0.02177   0.01470   0.0006   0.0897   1.0001
000004	0.04 	  12.000   1.1337   0.02712   0.02006   0.0085   0.0712   1.0001
000004	0.04 	  13.000   1.1456   0.03613   0.02916   0.0099   0.0614   1.0001
000004	0.04 	  14.000   1.1581   0.04644   0.03967   0.0089   0.0544   1.0001
000004	0.04 	  15.000   1.1665   0.05718   0.05055   0.0077   0.0493   1.0001
000004	0.1 	   2.000   0.2641   0.01393   0.00561  -0.0350   0.4791   0.2927
000004	0.1 	   3.000   0.3730   0.01381   0.00570  -0.0327   0.4539   0.3225
000004	0.1 	   4.000   0.4817   0.01385   0.00595  -0.0302   0.4283   0.3616
000004	0.1 	   5.000   0.5877   0.01378   0.00625  -0.0273   0.4018   0.4232
000004	0.1 	   6.000   0.6812   0.01304   0.00655  -0.0221   0.3695   0.6725
000004	0.1 	   7.000   0.8789   0.01334   0.00742  -0.0364   0.3212   1.0001
000004	0.1 	   8.000   0.9588   0.01414   0.00812  -0.0289   0.2775   1.0001
000004	0.1 	   9.000   1.0287   0.01553   0.00926  -0.0201   0.2155   1.0001
000004	0.1 	  10.000   1.0776   0.01839   0.01161  -0.0094   0.1311   1.0001
000004	0.1 	  11.000   1.1060   0.02236   0.01531   0.0023   0.0877   1.0001
000004	0.1 	  12.000   1.1282   0.02814   0.02115   0.0094   0.0700   1.0001
000004	0.1 	  13.000   1.1396   0.03766   0.03079   0.0100   0.0606   1.0001
000004	0.1 	  14.000   1.1499   0.04827   0.04157   0.0089   0.0538   1.0001
000004	0.1 	  15.000   1.1583   0.05908   0.05253   0.0077   0.0488   1.0001
000005	0.04 	   2.000   1.0006   0.01218   0.00672  -0.2483   0.7789   0.2854
000005	0.04 	   3.000   1.0073   0.01957   0.01010  -0.2269   0.0645   0.2984
000005	0.04 	   4.000   1.0786   0.02238   0.01291  -0.2181   0.0391   0.3171
000005	0.04 	   5.000   1.1485   0.02585   0.01648  -0.2096   0.0312   0.3375
000005	0.04 	   6.000   1.2221   0.02989   0.02067  -0.2020   0.0268   0.3597
000005	0.04 	   7.000   1.3246   0.03446   0.02551  -0.1982   0.0237   0.3859
000005	0.04 	   8.000   1.4642   0.04092   0.03244  -0.2008   0.0210   0.4195
000005	0.04 	  12.000   1.2493   0.11321   0.10975  -0.1283   0.0329   0.4718
000005	0.04 	  13.000   1.1274   0.13238   0.12945  -0.1286   0.0330   0.4747
000005	0.04 	  15.000   0.9335   0.20580   0.20340  -0.1726   0.0294   0.4617
000005	0.1 	   2.000   1.0045   0.01222   0.00674  -0.2491   0.7747   0.2847
