000127
1.000000  	0.000000  
0.999753  	-0.000232 
0.999013  	-0.000928 
0.997781  	-0.002086 
0.996057  	-0.003701 
0.993844  	-0.005769 
0.991144  	-0.008284 
0.987958  	-0.011238 
0.984292  	-0.014621 
0.980147  	-0.018424 
0.975528  	-0.022633 
0.970440  	-0.027237 
0.964888  	-0.032221 
0.958877  	-0.037569 
0.952414  	-0.043265 
0.945503  	-0.049291 
0.938153  	-0.055628 
0.930371  	-0.062256 
0.922164  	-0.069155 
0.913540  	-0.076303 
0.904508  	-0.083676 
0.895078  	-0.091251 
0.885257  	-0.099004 
0.875056  	-0.106909 
0.864484  	-0.114941 
0.853553  	-0.123071 
0.842274  	-0.131273 
0.830656  	-0.139519 
0.818712  	-0.147779 
0.806454  	-0.156025 
0.793893  	-0.164227 
0.781042  	-0.172355 
0.767913  	-0.180377 
0.754521  	-0.188264 
0.740877  	-0.195985 
0.726995  	-0.203508 
0.712890  	-0.210803 
0.698574  	-0.217839 
0.684062  	-0.224587 
0.669369  	-0.231016 
0.654508  	-0.237097 
0.639496  	-0.242802 
0.624345  	-0.248104 
0.609072  	-0.252977 
0.593691  	-0.257395 
0.578217  	-0.261336 
0.562667  	-0.264779 
0.547054  	-0.267703 
0.531395  	-0.270091 
0.515705  	-0.271928 
0.500000  	-0.273203 
0.484295  	-0.273903 
0.468605  	-0.274023 
0.452946  	-0.273559 
0.437333  	-0.272508 
0.421783  	-0.270874 
0.406309  	-0.268661 
0.390928  	-0.265878 
0.375655  	-0.262536 
0.360504  	-0.258651 
0.345492  	-0.254241 
0.330631  	-0.249327 
0.315938  	-0.243933 
0.301426  	-0.238088 
0.287110  	-0.231820 
0.273005  	-0.225163 
0.259123  	-0.218151 
0.245479  	-0.210822 
0.232087  	-0.203212 
0.218958  	-0.195363 
0.206107  	-0.187315 
0.193546  	-0.179109 
0.181288  	-0.170788 
0.169344  	-0.162392 
0.157726  	-0.153962 
0.146447  	-0.145540 
0.135516  	-0.137163 
0.124944  	-0.128870 
0.114743  	-0.120694 
0.104922  	-0.112668 
0.095492  	-0.104823 
0.086460  	-0.097186 
0.077836  	-0.089779 
0.069629  	-0.082623 
0.061847  	-0.075734 
0.054497  	-0.069124 
0.047586  	-0.062803 
0.041123  	-0.056773 
0.035112  	-0.051036 
0.029560  	-0.045587 
0.024472  	-0.040418 
0.019853  	-0.035519 
0.015708  	-0.030873 
0.012042  	-0.026462 
0.008856  	-0.022263 
0.006156  	-0.018253 
0.003943  	-0.014404 
0.002219  	-0.010686 
0.000987  	-0.007067 
0.000247  	-0.003517 
0.000000  	0.000000  
0.000247  	0.014767  
0.000987  	0.029459  
0.002219  	0.044002  
0.003943  	0.058324  
0.006156  	0.072354  
0.008856  	0.086026  
0.012042  	0.099279  
0.015708  	0.112054  
0.019853  	0.124301  
0.024472  	0.135971  
0.029560  	0.147028  
0.035112  	0.157436  
0.041123  	0.167170  
0.047586  	0.176212  
0.054497  	0.184549  
0.061847  	0.192176  
0.069629  	0.199095  
0.077836  	0.205314  
0.086460  	0.210848  
0.095492  	0.215714  
0.104922  	0.219939  
0.114743  	0.223552  
0.124944  	0.226584  
0.135516  	0.229073  
0.146447  	0.231055  
0.157726  	0.232570  
0.169344  	0.233659  
0.181288  	0.234362  
0.193546  	0.234718  
0.206107  	0.234767  
0.218958  	0.234544  
0.232087  	0.234084  
0.245479  	0.233418  
0.259123  	0.232574  
0.273005  	0.231575  
0.287110  	0.230443  
0.301426  	0.229193  
0.315938  	0.227837  
0.330631  	0.226384  
0.345492  	0.224838  
0.360504  	0.223199  
0.375655  	0.221463  
0.390928  	0.219625  
0.406309  	0.217675  
0.421783  	0.215602  
0.437333  	0.213393  
0.452946  	0.211033  
0.468605  	0.208508  
0.484295  	0.205801  
0.500000  	0.202897  
0.515705  	0.199783  
0.531395  	0.196445  
0.547054  	0.192872  
0.562667  	0.189056  
0.578217  	0.184990  
0.593691  	0.180670  
0.609072  	0.176098  
0.624345  	0.171274  
0.639496  	0.166207  
0.654508  	0.160906  
0.669369  	0.155384  
0.684062  	0.149658  
0.698574  	0.143747  
0.712890  	0.137674  
0.726995  	0.131464  
0.740877  	0.125145  
0.754521  	0.118744  
0.767913  	0.112293  
0.781042  	0.105822  
0.793893  	0.099363  
0.806454  	0.092948  
0.818712  	0.086609  
0.830656  	0.080374  
0.842274  	0.074273  
0.853553  	0.068333  
0.864484  	0.062579  
0.875056  	0.057034  
0.885257  	0.051717  
0.895078  	0.046646  
0.904508  	0.041834  
0.913540  	0.037293  
0.922164  	0.033031  
0.930371  	0.029053  
0.938153  	0.025361  
0.945503  	0.021955  
0.952414  	0.018831  
0.958877  	0.015985  
0.964888  	0.013409  
0.970440  	0.011095  
0.975528  	0.009033  
0.980147  	0.007213  
0.984292  	0.005622  
0.987958  	0.004251  
0.991144  	0.003088  
0.993844  	0.002123  
0.996057  	0.001348  
0.997781  	0.000753  
0.999013  	0.000333  
0.999753  	0.000083  
