003304
 1.000000    -0.000000
 0.975000    0.013889
 0.950000    0.026423
 0.925000    0.037696
 0.900001    0.047798
 0.875003    0.056810
 0.850006    0.064809
 0.825013    0.071867
 0.800026    0.078049
 0.775047    0.083416
 0.750080    0.088026
 0.725129    0.091929
 0.700199    0.095173
 0.675297    0.097803
 0.650430    0.099858
 0.625608    0.101375
 0.600839    0.102388
 0.576136    0.102927
 0.551512    0.103021
 0.526981    0.102694
 0.502560    0.101971
 0.478267    0.100874
 0.454123    0.099422
 0.430149    0.097635
 0.406370    0.095530
 0.382813    0.093125
 0.359505    0.090436
 0.336479    0.087479
 0.313768    0.084270
 0.291409    0.080826
 0.269440    0.077165
 0.247903    0.073303
 0.226844    0.069260
 0.206308    0.065055
 0.186348    0.060711
 0.167017    0.056251
 0.148373    0.051700
 0.130475    0.047086
 0.113388    0.042441
 0.097179    0.037797
 0.081920    0.033190
 0.067685    0.028662
 0.054553    0.024255
 0.042607    0.020016
 0.031933    0.015998
 0.022623    0.012256
 0.014770    0.008852
 0.008476    0.005850
 0.003843    0.003323
 0.000980    0.001345
 0.000000    0.000000
 0.000980    -0.006388
 0.003843    -0.011073
 0.008476    -0.014232
 0.014770    -0.016033
 0.022623    -0.016633
 0.031933    -0.016181
 0.042607    -0.014816
 0.054553    -0.012670
 0.067685    -0.009865
 0.081920    -0.006515
 0.097179    -0.002728
 0.113388    0.001398
 0.130475    0.005772
 0.148373    0.010308
 0.167017    0.014930
 0.186348    0.019567
 0.206308    0.024154
 0.226844    0.028633
 0.247903    0.032952
 0.269440    0.037066
 0.291409    0.040932
 0.313768    0.044515
 0.336479    0.047784
 0.359505    0.050713
 0.382813    0.053281
 0.406370    0.055471
 0.430149    0.057268
 0.454123    0.058664
 0.478267    0.059652
 0.502560    0.060230
 0.526981    0.060398
 0.551512    0.060160
 0.576136    0.059519
 0.600839    0.058486
 0.625608    0.057069
 0.650430    0.055280
 0.675297    0.053132
 0.700199    0.050641
 0.725129    0.047822
 0.750080    0.044691
 0.775047    0.041266
 0.800026    0.037564
 0.825013    0.033603
 0.850006    0.029400
 0.875003    0.024972
 0.900001    0.020336
 0.925000    0.015507
 0.950000    0.010499
 0.975000    0.005326
 1.000000    -0.000000
