000001	0.04 	   2.000   0.3874   0.01458   0.00768  -0.0631   0.3403   0.7571
000001	0.04 	   3.000   0.4945   0.01531   0.00810  -0.0622   0.2456   0.7638
000001	0.04 	   4.000   0.6150   0.01613   0.00857  -0.0648   0.1533   0.7735
000001	0.04 	   5.000   0.7238   0.01764   0.00985  -0.0643   0.0850   0.7806
000001	0.04 	   6.000   0.8381   0.01982   0.01199  -0.0653   0.0543   0.7900
000001	0.04 	   7.000   0.9385   0.02283   0.01514  -0.0630   0.0408   0.7982
000001	0.04 	   9.000   1.1269   0.03187   0.02524  -0.0574   0.0284   0.8166
000001	0.04 	  10.000   1.1962   0.03769   0.03184  -0.0512   0.0251   0.8251
000001	0.04 	  13.000   0.6349   0.15640   0.15399  -0.0613   0.0431   0.8264
000001	0.04 	  14.000   0.6318   0.16858   0.16620  -0.0662   0.0408   0.8317
000001	0.04 	  15.000   0.6371   0.17971   0.17737  -0.0723   0.0358   0.8372
000001	0.1 	   2.000   0.3877   0.01463   0.00772  -0.0630   0.3374   0.7568
000001	0.1 	   3.000   0.4952   0.01535   0.00815  -0.0619   0.2430   0.7633
000001	0.1 	   4.000   0.6169   0.01623   0.00864  -0.0647   0.1503   0.7732
000001	0.1 	   5.000   0.7261   0.01776   0.00996  -0.0640   0.0831   0.7801
000001	0.1 	   6.000   0.8417   0.01997   0.01217  -0.0650   0.0534   0.7897
000001	0.1 	   7.000   0.9423   0.02306   0.01544  -0.0626   0.0403   0.7977
000001	0.1 	   8.000   1.0454   0.02701   0.01984  -0.0611   0.0327   0.8067
000001	0.1 	   9.000   1.1276   0.03284   0.02644  -0.0559   0.0282   0.8160
000001	0.1 	  10.000   1.1918   0.03927   0.03366  -0.0491   0.0249   0.8246
000001	0.1 	  13.000   0.6322   0.15669   0.15428  -0.0616   0.0432   0.8257
000001	0.1 	  14.000   0.6343   0.16868   0.16630  -0.0658   0.0410   0.8313
000001	0.1 	  15.000   0.6366   0.18007   0.17772  -0.0728   0.0358   0.8367
000002	0.04 	   2.000   0.4453   0.01295   0.00656   0.0009   0.4359   0.8742
000002	0.04 	   3.000   0.5793   0.01443   0.00786  -0.0007   0.4211   0.9393
000002	0.04 	   4.000   0.7589   0.01554   0.00873  -0.0133   0.4049   0.9621
000002	0.04 	   5.000   0.9303   0.01603   0.00915  -0.0255   0.3893   0.9806
000002	0.04 	   6.000   1.0718   0.01647   0.00961  -0.0326   0.3744   0.9936
000002	0.04 	   7.000   1.1901   0.01711   0.01030  -0.0356   0.3602   1.0001
000002	0.04 	   8.000   1.2695   0.01800   0.01124  -0.0311   0.3473   1.0001
000002	0.04 	   9.000   1.3406   0.01900   0.01222  -0.0253   0.3343   1.0001
000002	0.04 	  10.000   1.3905   0.02003   0.01341  -0.0161   0.3215   1.0001
000002	0.04 	  11.000   1.4166   0.02136   0.01490  -0.0032   0.3087   1.0001
000002	0.04 	  12.000   1.4479   0.02333   0.01699   0.0066   0.2953   1.0001
000002	0.04 	  13.000   1.4874   0.02698   0.02080   0.0103   0.2804   1.0001
000002	0.04 	  14.000   1.5163   0.03271   0.02673   0.0114   0.2644   1.0001
000002	0.04 	  15.000   1.5293   0.04063   0.03486   0.0111   0.2476   1.0001
000002	0.1 	   2.000   0.4470   0.01298   0.00659   0.0010   0.4348   0.8699
000002	0.1 	   3.000   0.5823   0.01449   0.00796  -0.0007   0.4200   0.9383
